id,filename,title,score
1527577457586585601,data/images0.jpeg,Kebapi roll,0.732
1553780377835167744,data/images1.jpeg,"Pulled pork, chips, gravy and apple sauce",0.724
1863570749174202467,data/images2.jpeg,Chicken gyros,0.851
100074,data/images3.jpeg,Two pints,0.173
100428,data/images4.jpeg,Hot dog,0.45
1478032698375655425,data/images5.jpeg,Spicy wings,0.699
1893380247900271098,data/images6.jpeg,Doner kebab,0.592
1909651984484905377,data/images7.jpeg,Bowl of popcorn,0.285
1565420622255198210,data/images8.jpeg,Paprika fries,0.865
1503676697031417863,data/images9.jpeg,Sremska sausage,0.857
1669287279817371651,data/images10.jpeg,Giant Yorkshire pudding,0.696
1489968789680709637,data/images11.jpeg,Chili chips and rice,0.469
1690433037207511040,data/images12.jpeg,Hot dog,0.507
1658105277059682307,data/images13.jpeg,Sausage,0.445
1578133765381038082,data/images14.jpeg,Tropeiro,0.731
1775223009705394616,data/images15.jpeg,Cheesy chips,0.431
1665171257866764290,data/images16.jpeg,Specialty nachos,0.77
1482670329411649537,data/images17.jpeg,Chicken tikka and chips,0.763
1560732012356313088,data/images18.jpeg,Pastel de carne,0.393
1852423524557959469,data/images19.jpeg,Bhageecha x Punjab United Special,0.563
1555954703007105029,data/images20.jpeg,Scotch egg,0.732
1528820710050877440,data/images21.jpeg,Tropeiro,0.585
1915070383939608617,data/images22.jpeg,The hawk burger,0.776
1623017852205731852,data/images23.jpeg,Fried chicken sandwich,0.644
1773448059516592216,data/images24.jpeg,Chicken balti pie,0.246
1851317682681102465,data/images25.jpeg,Double cheeseburger,0.497
1753076211000262980,data/images26.jpeg,Jerk chicken loaded fries,0.714
1777428272881578401,data/images27.jpeg,Chicken tenders,0.562
1809740132041232836,data/images28.jpeg,Footlong chili cheese dog,0.718
1831059735505940758,data/images29.jpeg,Roast potatoes,0.735
1639537896523812865,data/images30.jpeg,Kebapi Roll,0.851
1510699785526915081,data/images31.jpeg,Crab meat sandwich and fries,0.629
1825193905039581218,data/images32.jpeg,Hot dog,0.172
100029,data/images33.jpeg,Three carnitas tacos,0.541
1779551597980176836,data/images35.jpeg,"""Hammer Time"" sausage roll",0.407
1769816219794780295,data/images36.jpeg,Poutine,0.665
1872715713947025469,data/images37.jpeg,Apple and mince pie crumble,0.224
1888615048517452101,data/images38.jpeg,Cob on the Tyne,0.664
1965786580691693878,data/images39.jpeg,Purple Korean corn dog,0.41
1580984243337199616,data/images40.jpeg,Chicken and fries,0.52
100296,data/images41.jpeg,Hot dog and beer,0.329
1666862197601861650,data/images42.jpeg,Churros,0.864
1511737291319955463,data/images43.jpeg,Victoria sponge,0.772
1493529755513245696,data/images44.jpeg,Chicken burger and waffle chips,0.737
1726284338353111205,data/images45.jpeg,Butchers Box,0.871
1703861802080125370,data/images46.jpeg,Poutine,0.718
1624150882467164162,data/images47.jpeg,Halloumi gyros,0.732
1657015105106608129,data/images48.jpeg,Mixed kebab pie,0.818
1518621458267791370,data/images49.jpeg,Pizza slice,0.256
1721513879815991509,data/images50.jpeg,"Pork, stuffing and gravy on chips",0.839
1565006795202072581,data/images51.jpeg,Chicken tikka and chips,0.929
1842649835591328207,data/images52.jpeg,Pork rib burger,0.059
1665500919251755008,data/images53.jpeg,Grilled cheese with chicken,0.699
100347,data/images54.jpeg,Impossible burger,0.442
1750229000587276527,data/images55.jpeg,Salt and pepper chicken,0.633
1721580901857915335,data/images56.jpeg,Meatball sandwich,0.129
1696121142631690511,data/images57.jpeg,Pepperoni pizza,0.81
1600482478023647239,data/images58.jpeg,Loaded fries,0.826
1645498130404904963,data/images59.jpeg,Ice cream,0.602
1526494128221171719,data/images60.jpeg,Sausage breakfast pie and red pepper frittata breakfast,0.547
1716086606480748704,data/images61.jpeg,Fried chicken bites,0.613
1703467639677362495,data/images62.jpeg,Pizza with olives,0.159
1647563913595166720,data/images63.jpeg,Topped Nachos,0.82
1815811650538332310,data/images64.jpeg,Chicken curry and rice,0.612
1647654158252621831,data/images65.jpeg,Pepperoni and cheese rolls,0.69
1716121721307070867,data/images66.jpeg,Kasnocken,0.747
1622751223349751808,data/images67.jpeg,Carne asada plate,0.907
1614737731166388224,data/images68.jpeg,Crepe,0.502
100351,data/images69.jpeg,24-inch double dog,0.631
1745826930039861514,data/images70.jpeg,Spring rolls and bean sprouts,0.813
1823491867494760858,data/images71.jpeg,Short rib poutine,0.882
1463229509482733569,data/images72.jpeg,The Boro burger,0.743
100437,data/images73.jpeg,Big Mozz,0.638
458692434,data/images74.jpeg,Pizza as ordered by Lionel Messi,0.256
1911846465174974774,data/images75.jpeg,"Steak pie, mash and gravy",0.405
1944820140069061042,data/images76.jpeg,The Breakfast Stack,0.778
1824804205200130067,data/images77.jpeg,Chicken burger,0.658
1900923884032970916,data/images78.jpeg,Macaroni Pie,0.231
1690475713730650112,data/images79.jpeg,Slider box deal,0.792
100274,data/images80.jpeg,XXL Classico burger,0.769
1818331354242670819,data/images81.jpeg,Chicken tenders and wedges,0.541
1966903932447584739,data/images82.jpeg,Double bacon cheeseburger,0.746
1918658240067285384,data/images83.jpeg,Burger,0.34
1931050613879795749,data/images84.jpeg,Slider box,0.753
1849112798615543823,data/images85.jpeg,Butter Chicken loaded fries,0.637
1495116447114498048,data/images86.jpeg,Pepperoni pizza,0.828
1616595745481658370,data/images87.jpeg,Tropeiro,0.875
1495342221142417409,data/images88.jpeg,Fish and chips,0.839
1815485229194187174,data/images89.jpeg,Chicken coxinha,0.837
1507341033474084889,data/images90.jpeg,Hot dog,0.301
1915468034753401099,data/images91.jpeg,Crab fries,0.681
1870579993400512904,data/images92.jpeg,Ice cream sundae,0.625
100209,data/images94.jpeg,Hotdog and chips,0.516
100469,data/images95.jpeg,Hot dog with onion,0.112
1556692377623994369,data/images96.jpeg,Sausage and bread,0.517
1521459751573413890,data/images97.jpeg,Doner burger,0.878
100445,data/images98.jpeg,"""All you can eat""",0.451
1631992838136242176,data/images99.jpeg,Cheeseburger,0.164
1551964346896551937,data/images100.jpeg,Chinese chicken curry pie,0.78
1591060288924954625,data/images101.jpeg,Zsiros Kenyer,0.417
1696493195188638124,data/images102.jpeg,Chicken big mack and chips,0.947
1701596271122022412,data/images103.jpeg,Steak sandwich,0.709
1653371494880235528,data/images104.jpeg,"""Kick off"" vegan kebab",0.611
